Name Country Purpose Altitude Period Mass Year Lifetime
"Galileo FOC FM14" "NR (12/16)" "Navigation/Global Positioning" 23296 847 723 2016 12
"Galileo FOC FM15" "NR (4/18)" "Navigation/Global Positioning" 23184 842.6 715 2017 12
"Galileo FOC FM16" "NR (4/18)" "Navigation/Global Positioning" 22927 831.6 715 2017 12
"Galileo FOC FM17" "NR (4/18)" "Navigation/Global Positioning" 22918 831.4 715 2017 12
"Galileo FOC FM18" "NR (4/18)" "Navigation/Global Positioning" 23149 830.9 715 2017 12
"Galileo FOC FM19" "NR (10/18)" "Navigation/Global Positioning" 23250 840.2 715 2017 12
"Galileo FOC FM2" "NR" "Navigation/Global Positioning" 25918 705.11 733 2014 12
"Galileo FOC FM20" "NR (10/18)" "Navigation/Global Positioning" 23149 831.2 715 2017 12
"Galileo FOC FM21" "NR (10/18)" "Navigation/Global Positioning" 22980 834.2 715 2017 12
"Galileo FOC FM22" "NR (10/18)" "Navigation/Global Positioning" 23047 836.6 715 2017 12
"Galileo FOC FM3" "NR" "Navigation/Global Positioning" 23574 858.55 723 2015 12
"Galileo FOC FM4" "NR" "Navigation/Global Positioning" 23382 850.5 723 2015 12
"Galileo FOC FM5" "NR" "Navigation/Global Positioning" 23240 845 723 2015 12
"Galileo FOC FM6" "NR" "Navigation/Global Positioning" 23239 844 723 2015 12
"Galileo FOC FM7" "NR (12/16)" "Navigation/Global Positioning" 23305 847 723 2016 12
"Galileo FOC FM8" "NR" "Navigation/Global Positioning" 23618 860.51 723 2015 12
"Galileo FOC FM9" "NR" "Navigation/Global Positioning" 23568 858.34 723 2015 12
"Galileo IOV-1 FM2" "NR" "Navigation/Global Positioning" 23307 846.98 700 2011 12
"Galileo IOV-1 PFM" "NR" "Navigation/Global Positioning" 23306 846.88 700 2011 12
"Galileo IOV-2 FM3" "NR" "Navigation/Global Positioning" 23233 844.76 700 2012 12
"Galileo IOV-2 FM4" "NR" "Navigation/Global Positioning" 23227 844.69 700 2012 12
"Gaofen 1" "China" "Earth Observation" 654 97.56 1000 2013 8
"Gaofen 11" "NR (10/18)" "Earth Observation" 689 93.9 1000 2018 8
"Gaofen 2" "NR" "Earth Observation" 636 97.06 1000 2014 8
"Gaofen 3" "NR" "Earth Observation" 759 99.8 1000 2016 8
"Gaofen 4" "NR" "Earth Observation" 35796 1436.1 4600 2015 8
"Gaofen 8" "NR" "Earth Observation" 492 94.36 1000 2015 8
"Gaofen 9" "NR" "Earth Observation" 664 97.54 1000 2015 8
"Gaofen-1-02" "NR (5/18)" "Earth Observation" 642 97.5 805 2018 8
"Gaofen-1-03" "NR (5/18)" "Earth Observation" 640 97.5 805 2018 8
"Gaofen-1-04" "NR (5/18)" "Earth Observation" 642 97.5 805 2018 8
